01_TB_HOKKAIDO,02_TB_AOMORI,03_TB_IWATE,04_TB_MIYAGI,05_TB_AKITA,06_TB_YAMAGATA,07_TB_FUKUSHIMA,08_TB_IBARAGI,09_TB_TOCHIGI,10_TB_GUNNMA,11_TB_SAITAMA,12_TB_CHIBA,13_TB_TOKYO,14_TB_KANAGAWA,15_TB_NIIGATA,16_TB_TOYOAMA,17_TB_ISHIKAWA,18_TB_FUKUI,19_TB_YAMANASHI,20_TB_NAGANO,21_TB_GIFU,22_TB_SHIZUOKA,23_TB_AICHI,24_TB_MIE,25_TB_SHIGA,26_TB_KYOTO,27_TB_OSAKA,28_TB_HYOGO,29_TB_NARA,30_TB_WAKAYAMA,31_TB_TOTTORI,32_TB_SHIMANE,33_TB_OKAYAMA,34_TB_HIROSHIMA,35_TB_YAMAGUCHI,36_TB_TOKUSHIMA,37_TB_KAGAWA,38_TB_EHIME,39_TB_KOCHI,40_TB_FUKUOKA,41_TB_SAGA,42_TB_NAGASAKI,43_TB_KUMAMOTO,44_TB_OITA,45_TB_MIYAZAKI,46_TB_KAGOSHIMA,47_TB_OKINAWA,Date
102,47,25,45,25,28,37,54,33,56,111,114,308,158,49,36,20,15,19,25,73,70,194,49,28,75,466,172,35,35,7,13,36,63,32,28,28,38,15,95,26,46,34,29,26,60,21,Jan-98
86,32,33,35,15,22,32,53,41,42,122,115,317,183,41,27,23,12,15,26,50,73,161,35,26,68,422,191,32,44,12,15,32,77,64,24,28,24,19,115,20,38,23,37,32,42,22,Feb-98
115,30,33,34,34,20,34,53,52,30,136,107,316,207,29,29,30,13,11,20,64,68,178,41,18,70,523,215,36,38,15,11,33,78,51,35,27,47,28,133,19,41,38,26,32,50,19,Mar-98
128,35,22,33,19,25,51,52,35,28,133,119,294,178,41,29,20,15,14,25,54,68,198,36,34,108,476,206,49,31,15,18,42,70,51,22,30,47,23,174,15,52,39,26,27,56,23,Apr-98
117,41,18,42,26,32,42,47,41,29,127,105,334,205,31,26,28,11,12,23,85,81,169,45,18,90,516,234,39,37,14,18,41,75,46,41,38,28,25,128,19,43,31,34,35,53,35,May-98
126,34,33,46,27,22,49,59,51,44,186,150,387,221,47,26,27,18,21,27,70,88,192,42,35,111,536,214,42,48,11,21,49,69,52,20,33,43,28,156,8,44,43,35,37,49,25,Jun-98
133,43,25,45,24,27,56,57,54,39,173,144,377,218,60,22,37,27,19,35,68,82,219,60,29,95,516,256,50,55,13,13,50,80,47,42,29,37,31,126,22,42,37,52,35,52,41,Jul-98
113,35,35,40,29,14,46,72,56,43,140,154,379,256,57,26,30,10,17,41,60,97,197,46,29,79,519,213,35,43,10,19,63,77,45,26,34,38,33,138,27,50,44,33,45,55,28,Aug-98
107,35,37,51,24,33,38,54,39,40,146,134,309,209,54,34,18,17,21,22,68,94,203,45,35,79,465,179,41,25,16,16,61,60,46,30,30,35,22,145,21,47,37,30,27,44,22,Sep-98
138,41,36,57,34,36,38,69,42,40,178,133,374,208,59,48,35,12,20,41,91,98,243,55,31,103,549,257,31,30,27,11,55,70,36,30,26,40,32,173,19,39,45,37,50,57,28,Oct-98
103,38,30,49,26,28,34,64,36,40,140,116,355,176,53,24,37,11,10,30,49,71,165,37,31,73,442,188,43,26,20,16,43,41,53,28,29,27,24,126,17,47,50,33,25,65,36,Nov-98
122,40,28,61,28,31,35,66,39,47,141,119,327,194,42,23,21,12,16,35,57,72,195,36,40,78,443,219,54,38,11,15,26,67,51,25,40,49,24,151,18,43,54,47,30,61,31,Dec-98
110,47,37,39,31,17,46,50,40,29,118,94,298,190,25,21,22,8,10,31,57,66,179,31,25,57,471,163,37,36,11,16,38,51,45,25,22,22,11,147,13,32,26,17,35,40,27,Jan-99
102,31,23,42,17,12,50,79,50,28,118,105,321,167,35,30,21,14,11,17,52,75,188,36,12,64,481,163,26,29,18,23,30,47,31,14,23,27,14,110,11,31,28,39,26,45,24,Feb-99
121,22,41,30,26,22,51,66,34,46,139,118,365,205,51,33,15,19,10,16,50,67,207,36,37,84,472,207,46,37,20,15,46,71,36,23,30,38,27,117,25,37,45,37,32,55,36,Mar-99
125,41,31,44,18,15,49,67,50,51,153,132,357,184,40,32,37,16,16,27,67,93,245,40,30,83,516,219,40,36,13,13,42,68,52,33,33,46,25,165,24,38,43,38,24,41,40,Apr-99
110,40,28,41,24,22,34,67,32,40,120,119,335,209,37,32,24,12,9,27,48,75,199,35,25,85,453,216,50,37,18,13,37,72,58,19,28,26,21,143,23,36,41,62,38,28,18,May-99
128,34,32,48,25,34,75,77,33,41,189,178,427,254,44,24,31,21,15,26,59,103,245,53,39,97,511,229,52,40,16,27,52,74,53,25,31,37,24,180,33,46,48,34,38,57,28,Jun-99
163,58,45,71,27,23,60,75,42,62,232,186,544,306,53,39,31,17,28,33,107,101,272,54,44,105,623,320,58,42,24,23,59,91,60,29,52,48,40,201,25,63,52,49,31,63,27,Jul-99
122,50,48,54,34,30,46,72,59,70,176,146,478,271,64,28,43,14,17,42,72,130,280,68,38,113,607,247,44,57,16,16,52,84,59,42,36,46,31,196,33,49,47,69,29,61,39,Aug-99
111,37,44,49,38,31,51,60,39,52,181,148,384,252,59,41,37,21,22,38,89,88,199,38,31,90,524,222,44,42,13,24,47,71,51,32,29,39,26,146,25,46,60,51,30,64,24,Sep-99
130,42,31,48,25,26,41,58,43,37,146,140,428,185,45,28,30,18,18,35,70,94,217,44,35,77,522,222,48,34,23,17,62,58,71,33,34,44,31,148,24,45,38,44,40,42,39,Oct-99
119,34,27,41,29,12,46,65,39,46,160,132,400,196,63,26,47,26,13,26,57,84,195,54,26,77,454,230,36,40,11,16,60,56,56,38,34,34,25,147,20,35,37,48,24,65,35,Nov-99
112,36,27,55,20,17,65,46,42,37,134,112,356,203,57,20,38,25,21,27,60,68,195,62,49,79,479,214,43,38,18,23,34,65,41,32,40,32,21,145,19,47,46,39,24,51,39,Dec-99
98,41,25,50,23,11,31,64,34,27,134,123,333,156,43,34,29,11,20,26,57,70,160,43,17,62,469,159,35,41,11,9,19,51,39,25,26,21,24,106,14,36,37,27,9,42,18,Jan-00
111,38,30,46,15,17,50,57,26,40,138,116,353,185,42,32,24,11,14,24,43,64,200,39,30,69,382,183,36,20,6,11,50,49,37,27,20,39,26,120,15,45,37,34,24,35,18,Feb-00
100,36,19,58,24,20,40,54,42,35,148,102,385,216,50,30,17,20,11,29,62,63,210,46,28,64,562,225,42,45,8,18,44,76,32,22,20,24,21,136,15,51,29,35,25,47,26,Mar-00
96,35,25,31,16,18,34,60,33,35,124,140,386,190,38,20,24,20,12,25,66,82,180,37,28,54,452,197,39,39,10,10,39,57,37,31,35,33,25,157,20,41,38,53,25,54,27,Apr-00
98,32,27,37,20,13,34,56,41,36,159,135,345,196,46,28,36,20,18,16,56,59,205,42,27,81,476,205,45,37,12,13,50,53,47,25,31,33,31,144,18,51,47,48,32,34,33,May-00
109,61,32,47,20,18,48,84,44,51,180,130,453,233,40,34,21,22,13,25,69,83,212,54,31,82,492,197,49,39,15,17,53,54,41,38,22,32,30,168,22,50,52,51,27,47,34,Jun-00
